locationId	city	country	province	address	longitude	latitude	postalCode	keys
LOC1006	Las Vegas	US	NV	9090 Alta Dr	-115.29116	36.16883		us/nv/lasvegas/9090altadr/-564462433
LOC1007	Laughlin	US	NV	2100 S Casino Dr	-114.57174000000001	35.159050000000001	89029	us/nv/laughlin/2100scasinodr/-5630448
LOC1008	Lexington	US	MI	5689 Old Orchard Bluff Rd	-82.527839999999898	43.264699999999898	48450	us/mi/lexington/5689oldorchardbluffrd/-500265805
LOC1009	Lincoln	US	NE	1501 N 86th St	-96.604166000000006	40.828380000000003	68505	us/ne/lincoln/1501n86thst/-401424256
LOC1010	Lodi	US	CA	815 S Cherokee Ln	-121.26123	38.124519999999897	95240	us/ca/lodi/815scherokeeln/-664507217
LOC1011	Los Alamos	US	CA	425 Bell St	-120.278909	34.744338999999897	93440	us/ca/losalamos/425bellst/-1029042047
LOC1012	Lynchburg	US	VA	2400 Stadium Rd	-79.158559999999895	37.394120000000001	24501	us/va/lynchburg/2400stadiumrd/1083197965
LOC1013	Mamaroneck	US	NY	1015 W Boston Post Rd	-73.742559999999898	40.940689999999897	10543	us/ny/mamaroneck/1015wbostonpostrd/1817233781
LOC1014	Manistee	US	MI	520 Water St	-86.331320000000005	44.247129999999899	49660	us/mi/manistee/520waterst/615979252
LOC1015	Marana	US	AZ	15000 N Secret Springs Dr	-111.0887	32.479056999999898	85658	us/az/marana/15000nsecretspringsdr/765633957
LOC1016	Mesa	US	AZ	1342 S Power Rd	-111.68600000000001	33.390940000000001	85206	us/az/mesa/1342spowerrd/-149054798
LOC1017	Mesquite	US	NV	345 Mystic Dr	-114.06719	36.805529999999898	89034	us/nv/mesquite/345mysticdr/1120313552
LOC1018	Miami	US	FL	500 Brickell Key Drive	-80.185029999999898	25.764990000000001	33131	us/fl/miami/500brickellkeydrive/287160081
LOC1019	Miami Beach	US	FL	2912 Collins Ave	-80.125113999999897	25.8052999999999	33140	us/fl/miamibeach/2912collinsave/-1753922636
LOC1020	Miami Beach	US	FL	347 Washington Avenue	-80.134360000000001	25.773230000000002	33139	us/fl/miamibeach/347washingtonavenue/-1657356408
LOC1021	Milford	US	CT	190 Old Gate Ln	-73.029298999999895	41.231082999999899	6460	us/ct/milford/190oldgateln/715189268
LOC1022	Minneapolis	US	MN	19 N 8th St	-93.276169999999894	44.9773	55403	us/mn/minneapolis/19n8thst/982188870
LOC1023	Minooka	US	IL	621 Bob Blair Rd	-88.273470000000003	41.456969999999899	60447	us/il/minooka/621bobblairrd/-380000293
LOC1024	Monroe	US	LA	5100 Frontage Rd	-92.056179999999898	32.492870000000003	71202	us/la/monroe/5100frontagerd/-976545399
LOC1025	Montgomery	US	TX	14643 Highway 105 W	-95.792599999999894	30.346499999999899	77356	us/tx/montgomery/14643highway105w/-1492067258
